koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_disposition
0.0,0,1,1,0,0.10343848171678455,0.00279096291567606,0.9972090370843238,0.030599459563658643,0.004729949297994539,0.9952700507020055,0.03373771011734856,4.676174888940846e-05,0.9997272231314784,0.18409082359885762,0.013409090909090909,0.9865909090909091,0.010147012648109454,0.004138686131386862,0.9958613138686131,0.0003248503614824235,0.00014482029598308669,0.9999043103448275,0.01667238421955403,2.6946657282372996e-07,4.1745774102242683e-07,0.9999998250009791,0.022038597925389123,0.0,0.2122402720060446,0.24112426035502957,0.9074914869466515,0.8391950347940568,0.078125,0.8519948519948519,0.0037130914265385987,0.0037170227554319903,0.9990272092463279,0.914255319538178,0.27083123792050623,0.6298867675014462,0
0.95,0,0,0,0,0.0053911133014743024,0.00048499257712625624,0.9995150074228737,0.012245272730361939,0.012972606083783707,0.9870273939162163,0.013875673961306692,0.0011690437222352116,0.9809056192034915,0.07050345348430088,0.01840909090909091,0.9815909090909091,9.219133932866266e-05,0.00027737226277372266,0.9997226277372263,0.0001228748412226661,7.505285412262156e-05,0.9999508620689654,0.10332761578044598,0.00014074558804686764,0.00023589956374809028,0.9999037130386912,0.0026181191520387084,0.0,0.17098602191159804,0.10946745562130178,0.9625425652667423,0.6223434267444047,0.09510869565217392,0.8378378378378378,0.019338091426538598,0.022755431990571454,0.9940669395617626,0.31372789357081743,0.765796186965249,0.5213654020993469,1
0.989,0,0,0,0,0.0024023276590885365,6.208209464853015e-05,0.9999379179053515,0.008329036913899981,0.004097250696100275,0.9959027493038998,0.014827148747224865,0.0007832592938975918,0.979596290234588,0.01449103425127245,0.00521969696969697,0.9947803030303031,0.00011984874112726147,0.00034306569343065695,0.9996569343065693,4.723001709496229e-05,2.431289640591966e-05,0.9999810344827585,0.09337907375643226,9.636490022580411e-05,0.00013165677180774842,0.9999334468009128,0.002772775979585298,0.0,0.24208537967510388,0.15532544378698224,0.9335981838819524,0.7934925709986834,0.08967391304347827,0.8455598455598455,0.006464558875844896,0.006255477320117252,0.9980062605345533,0.3790908442291414,0.9327105168857011,0.5373171336474089,1
0.993,0,0,0,0,0.13837920219850203,0.0058208139106638275,0.9941791860893361,0.022797284766185755,0.006048071385274256,0.9939519286147258,0.03203298445924516,0.0013210194061257891,0.9686306601200219,0.037589013666364766,0.010530303030303032,0.989469696969697,0.0016545633899514695,0.003467153284671533,0.9965328467153285,0.00013324240595082856,2.536997885835095e-05,0.999985344827586,0.013241852487135504,1.4067068547408275e-07,9.123248644860983e-08,0.9999999589288012,0.0034576847872916277,0.0,0.18874197204382318,0.12130177514792899,0.9534619750283768,0.8465299981192401,0.021739130434782608,0.9189189189189189,0.003957666310921381,0.0016620833459248738,0.9996243679267999,0.8742908654505808,0.4794198784678536,0.6507149351186047,1
1.0,0,0,0,0,0.015399726280769958,0.0007327537914947141,0.9992672462085053,0.00816033324618344,0.008684315559833693,0.9913156844401664,0.03024896923564859,0.0018353986439092823,0.972013093289689,0.02077009661654026,0.011287878787878788,0.9887121212121213,0.0003617154313659882,0.0015912408759124089,0.9984087591240876,0.00013477834146611187,0.00021987315010570823,0.9998025862068964,0.04864493996569468,8.897877579240522e-06,4.697367203782817e-05,0.9999847661566564,0.001745412768025805,0.0,0.16214582546278808,0.1908284023668639,0.9267877412031782,0.72578521722776,0.47554347826086957,0.6138996138996139,0.009410574528637496,0.031096068417394453,0.9891066698771972,0.3997785469533497,0.2829591965138589,0.6255062401851391,1
1.0,0,0,0,0,0.006799928655033545,0.00028275375455441267,0.9997172462454456,0.00916837612356916,0.007243168744407867,0.9927568312555922,0.012607040913415794,0.0013444002805704934,0.9826513911620295,0.032026111639992715,0.008560606060606062,0.991439393939394,0.00013937161298509593,0.0003941605839416059,0.9996058394160584,5.567766242902059e-05,2.8541226215644822e-05,0.9999749999999998,0.06600343053173242,2.668815206166413e-05,3.718138515901072e-05,0.9999797804702639,0.0025849784032787246,0.14285714285714285,0.23044956554590104,0.14940828402366862,0.9358683314415437,0.785029151777318,0.10122282608695653,0.842985842985843,0.007126022767698329,0.007010969750083104,0.997515049361907,0.15257483759194912,0.3000266076446114,0.5278948673444085,1
1.0,0,0,0,0,0.016368480179836897,0.00023872390019375297,0.9997612760998063,0.045764438474369534,0.002497929230200884,0.9975020707697991,0.00721535045987948,0.0025017535655833525,0.9900709219858156,0.02972282424701889,0.003643939393939394,0.9963560606060606,0.0009398093591563083,0.001,0.999,9.829987297813289e-05,3.8054968287526425e-05,0.9999836206896551,0.03862778730703259,3.971663249618908e-06,4.639033704871737e-06,0.99999841608029,0.007158401732156467,0.0,0.21972043823196072,0.16420118343195267,0.9370034052213394,0.8326123753996615,0.04008152173913043,0.8584298584298584,0.0045468694414799015,0.0036868030582333563,0.999364314953046,0.49472711240228584,0.13412518309809762,0.548061823291181,1
0.997,0,0,0,0,0.021352173788456823,0.0011715597976653565,0.9988284402023346,0.018562739863591124,0.009141264550090662,0.9908587354499094,0.029218204884237233,0.002536824877250409,0.9723949809056192,0.03326311586172174,0.011287878787878788,0.9887121212121213,0.00016540210879554187,0.0006277372262773723,0.9993722627737226,4.99179042467081e-05,2.431289640591966e-05,0.9999887931034481,0.03945111492281304,4.281321446863804e-06,5.626003330997607e-06,0.9999980089397107,0.0020436795068656576,0.0,0.24208537967510388,0.15532544378698224,0.9335981838819524,0.8173782208012036,0.05434782608695653,0.8455598455598455,0.005319503735325508,0.005016469734973256,0.99906573561281,0.07799702533949748,0.3726922564139299,0.40474419373501935,1
0.0,0,1,0,0,0.023059576061033836,2.8276121724159244e-05,0.9999717238782758,0.02110165091815981,0.00020615429445054785,0.9997938457055495,0.03948620361560419,0.0007248071077858312,0.9993453355155483,0.01779918864097363,0.0006181818181818183,0.9993818181818181,0.005266294683650843,0.0008321167883211679,0.9991678832116788,0.0014119087224241974,0.0005507399577167019,0.998655172413793,0.0923499142367067,9.238592940810862e-05,0.00014262955176879484,0.9998609757777909,0.061111540713409844,0.0,0.4500188893086513,0.4807692307692308,0.5698070374574348,0.7020876434079367,0.27717391304347827,0.9073359073359073,0.01616973496976165,0.012873591006618113,0.987700457500602,0.46505459947275796,0.18948399635526636,0.37127035292172905,0
0.0,0,0,0,0,0.012465609282408283,4.447015290426628e-05,0.9999555298470957,0.03951413992831007,0.0005928034400525985,0.9994071965599475,0.042856010149064386,0.004056581716156184,0.9935079105291871,0.016574409782605548,0.0014696969696969698,0.998530303030303,0.006209900156779508,0.0027810218978102192,0.9972189781021897,0.00072496156321373,0.0005200845665961944,0.999803448275862,0.04397941680960549,6.236095907347812e-06,1.44202621004833e-05,0.9999962750208399,0.020072246832296758,0.0,0.22939176426142802,0.22781065088757396,0.9125993189557321,0.8299793116419033,0.06657608695652174,0.7657657657657657,0.004413464959089293,0.007071409144480372,0.9989597881049843,0.459265353986428,0.3446854418617251,0.6689809075130176,2
