koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_disposition
1.0,0,0,0,0,17.8075656,0.000832,-0.000832,146.88323,0.00623,-0.00623,0.474,0.001,-0.473,1.643,0.15,-0.15,1510.0,162.0,-162.0,3.92,1.2,-0.51,742.0,71.56,66.53,-25.4,11.8,1.0,6194.0,197.0,-241.0,4.45,0.07,-0.21,0.981,0.299,-0.128,294.42126,39.628471,15.574,2
0.999,0,0,0,0,34.08429351,5.82e-05,-5.82e-05,152.06766,0.00151,-0.00151,1.28,32.01,-1.095,1.3521,0.0777,-0.0777,3750.0,157.0,-157.0,36.05,10.8,-4.96,506.0,15.46,14.28,-5.29,28.7,1.0,5252.0,174.0,-158.0,4.428,0.143,-0.287,0.922,0.276,-0.127,282.34613,42.60891,15.417,2
0.0,0,0,1,0,1.284991846,7.15e-06,-7.15e-06,132.74087,0.00526,-0.00526,0.485,0.032,-0.434,2.274,0.165,-0.165,29.1,2.3,-2.3,1.17,0.21,-0.41,2491.0,9065.72,5273.27,-5630.36,15.3,1.0,6060.0,180.0,-180.0,3.852,0.315,-0.105,2.106,0.392,-0.729,298.94785,43.539711,12.923,0
0.0,0,1,0,0,10.47625827,2.88e-07,-2.88e-07,136.5282906,2.21e-05,-2.21e-05,0.318,0.008,-0.002,7.77203,0.00138,-0.00138,120000.0,17.5,-17.5,54.13,12.0,-14.6,1077.0,318.44,210.12,-168.29,8251.5,1.0,6109.0,167.0,-186.0,4.097,0.228,-0.123,1.536,0.339,-0.414,295.85443,45.892208,12.421,0
1.0,0,0,0,0,21.30020491,3.99e-05,-3.99e-05,189.70595,0.0015,-0.0015,0.075,0.309,-0.075,4.0852,0.0474,-0.0474,660.0,12.2,-12.2,2.99,0.47,-0.28,725.0,65.37,27.07,-14.54,58.1,1.0,6008.0,77.0,-83.0,4.35,0.076,-0.123,1.168,0.186,-0.109,289.50067,51.68573,14.02,1
0.783,0,0,0,0,3.39401963,2.95e-05,-2.95e-05,134.37164,0.00707,-0.00707,0.166,0.291,-0.166,2.984,0.23,-0.23,98.4,11.8,-11.8,1.03,0.32,-0.12,1306.0,689.16,643.11,-222.12,10.0,1.0,6181.0,168.0,-224.0,4.431,0.07,-0.21,1.029,0.327,-0.117,288.03058,40.418301,15.42,2
0.997,0,0,0,0,90.097375,0.00281,-0.00281,143.8471,0.0226,-0.0226,0.042,0.42,-0.042,12.697,0.66,-0.66,283.0,27.5,-27.5,1.7,0.55,-0.23,430.0,8.05,8.01,-2.78,11.5,1.0,6116.0,190.0,-211.0,4.444,0.07,-0.21,1.008,0.331,-0.133,290.45026,39.862011,15.416,2
1.0,0,0,0,0,6.38899658,1.4e-05,-1.4e-05,175.4761,0.00172,-0.00172,0.876,0.006,-0.628,3.5032,0.0478,-0.0478,543.0,12.7,-12.7,2.89,0.42,-0.3,970.0,209.17,87.35,-54.46,45.8,2.0,5527.0,111.0,-111.0,4.376,0.099,-0.11,1.054,0.152,-0.11,283.36841,41.821861,14.532,1
0.815,0,0,0,0,0.494247662,1.74e-06,-1.74e-06,131.84441,0.00296,-0.00296,0.366,0.103,-0.366,1.2443,0.0847,-0.0847,225.0,15.9,-15.9,1.51,0.39,-0.14,2257.0,6096.15,4858.15,-1743.7,18.1,1.0,5763.0,180.0,-200.0,4.484,0.046,-0.184,0.998,0.26,-0.093,295.73773,38.903912,15.666,2
0.0,1,0,1,1,0.530967987,1.92e-06,-1.92e-06,131.72336,0.0035,-0.0035,0.093,0.387,-0.093,1.812,0.107,-0.107,26.9,1.3,-1.3,1.08,0.31,-0.2,4196.0,73103.16,61299.22,-33623.61,24.1,1.0,8473.0,237.0,-407.0,4.123,0.112,-0.168,2.052,0.581,-0.388,288.85028,44.596939,12.717,0
